Categoria;FACULTADES;SEDE;CARRERAS;VARONES;MUJERES;;;;
NUEVOS INSCRIPTOS ;HUMANIDADES;SEDE CENTRAL;PROFESOR EN CIENCIAS DE LA EDUCACION;32;73;;;;
NUEVOS INSCRIPTOS ;HUMANIDADES;SEDE CENTRAL;PROFESOR EN EDUCACION INICIAL;2;179;;;;
NUEVOS INSCRIPTOS ;HUMANIDADES;SEDE CENTRAL;PROFESOR EN FILOSOFIA;26;19;;;;
NUEVOS INSCRIPTOS ;HUMANIDADES;SEDE CENTRAL;PROFESOR EN GEOGRAFIA;23;19;;;;
NUEVOS INSCRIPTOS ;HUMANIDADES;SEDE CENTRAL;PROFESOR EN HISTORIA;49;33;;;;
NUEVOS INSCRIPTOS ;HUMANIDADES;SEDE CENTRAL;PROFESOR EN LETRAS;17;49;;;;
NUEVOS INSCRIPTOS ;INGENIERIA;SEDE CORRIENTES;LICENCIATURA EN COMUNICACIÓN SOCIAL;125;121;;;;
NUEVOS INSCRIPTOS ;INGENIERIA;SEDE CENTRAL;INGENIERIA CIVIL;181;75;;;;
NUEVOS INSCRIPTOS ;INGENIERIA;SEDE CENTRAL;INGENIERIA ELECTROMECANICA;159;9;;;;
NUEVOS INSCRIPTOS ;INGENIERIA;SEDE CENTRAL;INGENIERIA MECANICA;47;3;;;;
NUEVOS INSCRIPTOS ;INGENIERIA;EXTENSIONES AULICAS;INGENIERIA CIVIL;0;0;;;;
NUEVOS INSCRIPTOS ;INGENIERIA;EXTENSIONES AULICAS;INGENIERIA ELECTROMECANICA;0;0;;;;
NUEVOS INSCRIPTOS ;INGENIERIA;EXTENSIONES AULICAS;INGENIERIA MECANICA;0;0;;;;
NUEVOS INSCRIPTOS ;INGENIERIA;EXTENSIONES AULICAS;TEC. UNIVERSITARIA EN INFORMATICA;0;0;;;;
NUEVOS INSCRIPTOS ;MEDICINA;SEDE CENTRAL;LICENCIATURA EN ENFERMERIA;76;251;;;;
NUEVOS INSCRIPTOS ;MEDICINA;SEDE CENTRAL;LIC. EN KINESIOLOGIA Y FISIATRIA;204;326;;;;
NUEVOS INSCRIPTOS ;MEDICINA;SEDE CENTRAL;MEDICINA;378;639;;;;
NUEVOS INSCRIPTOS ;MEDICINA;EXTENSIONES AULICAS;LICENCIATURA EN ENFERMERIA;0;0;;;;
NUEVOS INSCRIPTOS ;ODONTOLOGIA;SEDE CENTRAL;ODONTOLOGIA;128;350;;;;
NUEVOS INSCRIPTOS ;CS. CRIMIN. Y CRIMINOLOGIA;SEDE CENTRAL;LICENCIATURA EN CRIMINALISTICA;128;292;;;;
NUEVOS INSCRIPTOS ;CS. CRIMIN. Y CRIMINOLOGIA;SEDE CENTRAL;LICENCIATURA EN SEGURIDAD PÚBLICA Y CIUDADANA;0;0;;;;
;;;;;;;;;
