Categoria;FACULTADES;CARRERAS;VARONES;MUJERES
EGRESADOS;HUMANIDADES;PROFESOR EN CIENCIAS ECONÓMICAS;0;0
EGRESADOS;HUMANIDADES;PROFESOR EN CIENCIAS JURÍDICAS;0;0
EGRESADOS;HUMANIDADES;PROFESOR UNIVERSITARIO;0;0
EGRESADOS;HUMANIDADES;LICENCIADO EN COMUNICACIÓN SOCIAL;5;7
EGRESADOS;HUMANIDADES;PROFESOR UNIVERSITARIO - CICLO DE LICENCIATURA;0;0
EGRESADOS;HUMANIDADES;TÉCNICO EN PERIODISMO;3;2
EGRESADOS;INGENIERIA;INGENIERO CIVIL;16;0
EGRESADOS;INGENIERIA;INGENIERO ELECTROMECÁNICO;3;0
EGRESADOS;INGENIERIA;LICENCIADO EN GESTIÓN AMBIENTAL - MD;1;1
EGRESADOS;INGENIERIA;TÉCNICO UNIVERSITARIO EN INFORMÁTICA;1;1
EGRESADOS;MEDICINA;ENFERMERO;0;0
EGRESADOS;MEDICINA;LICENCIADO EN ENFERMERÍA;3;25
EGRESADOS;MEDICINA;LICENCIADO EN KINESIOLOGÍA Y FISIATRÍA;8;30
EGRESADOS;MEDICINA;MÉDICO;5;1
EGRESADOS;ODONTOLOGIA;ODONTÓLOGO;19;38
EGRESADOS;ODONTOLOGIA;TÉCNICO EN GESTIÓN DE INSTITUCIONES UNIVERSITARIAS DEL ÁREA DE LA SALUD;0;0
EGRESADOS;CS. CRIMIN. Y CRIMINOLOGIA;LICENCIADO EN CRIMINALÍSTICA;2;5
;;;;
